time,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
0.53,55.48,89848,1002.44,63.84,65.15,26,9.05,9.02,9.07
0.54,55.34,89861,1001.24,62.65,65.73,26,9.05,9.03,9.07
0.55,55.18,89847,1002.53,63.93,66.31,26,9.03,9.03,9.07
0.56,55.01,89847,1002.53,63.93,66.88,26,9.03,9.03,9.08
0.57,54.82,89827,1004.36,65.77,67.45,26,9.05,9.03,9.07
0.58,54.62,89817,1005.28,66.69,68.03,26,9.03,9.05,9.08
0.59,54.41,89807,1006.2,67.61,68.6,26,9.07,9,9.07
0.6,54.19,89813,1005.65,67.05,69.16,26,9.05,9.03,9.08
0.61,53.95,89777,1008.95,70.36,69.73,26,9.05,9,9.07
0.62,53.71,89775,1009.14,70.54,70.29,26,9.02,9.03,9.07
0.63,53.45,89775,1009.14,70.54,70.85,26,9.05,9.03,9.05
0.64,53.17,89751,1011.34,72.75,71.4,26,9.03,9.02,9.07
0.65,52.89,89761,1010.42,71.83,71.96,26,9.03,9.05,9.07
0.66,52.6,89751,1011.34,72.75,72.51,26,9.02,9.03,9.07
0.67,52.29,89751,1011.34,72.75,73.05,26,9.03,9.03,9.08
0.68,51.97,89727,1013.55,74.95,73.6,26,9.03,9.03,9.07
0.69,51.65,89712,1014.92,76.33,74.14,26,9.05,9.02,9.07
0.7,51.31,89706,1015.47,76.88,74.67,26,9.05,9.03,9.07
0.71,50.96,89709,1015.2,76.6,75.21,26,9.05,9.03,9.07
0.72,50.6,89684,1017.5,78.9,75.73,26,9.03,9.03,9.07
0.73,50.23,89689,1017.04,78.44,76.26,26,9.07,9.03,9.07
0.74,49.86,89678,1018.05,79.45,76.78,26,9.05,9.03,9.07
0.75,49.47,89662,1019.52,80.92,77.29,26,9.05,9.03,9.07
0.76,49.08,89667,1019.06,80.46,77.8,26,9.05,9.03,9.07
0.77,48.67,89645,1021.08,82.49,78.31,26,9.03,9.02,9.07
0.78,48.27,89645,1021.08,82.49,78.81,26,9.05,9.03,9.08
0.79,47.85,89630,1022.46,83.86,79.3,26,9.05,9.03,9.07
0.8,47.42,89618,1023.56,84.97,79.8,26,9.03,9.03,9.07
0.81,46.99,89610,1024.3,85.7,80.28,26,9.05,9.03,9.07
0.82,46.56,89601,1025.13,86.53,80.76,26,9.05,9.03,9.07
0.83,46.11,89581,1026.96,88.37,81.24,26,9.05,9.02,9.07
0.84,45.67,89599,1025.31,86.71,81.71,26,9.05,9.03,9.08
0.85,45.21,89557,1029.17,90.58,82.18,26,9.05,9.03,9.07
0.86,44.76,89567,1028.25,89.66,82.64,26,9.05,9.03,9.07
0.87,44.29,89555,1029.36,90.76,83.09,26,9.05,9.02,9.07
0.88,43.83,89537,1031.01,92.42,83.54,26,9.03,9.03,9.07
0.89,43.36,89537,1031.01,92.42,83.99,26,9.05,9.03,9.08
0.9,42.89,89529,1031.75,93.15,84.42,26,9.05,9.03,9.07
0.91,42.42,89507,1033.77,95.18,84.86,26,9.05,9.03,9.07
0.92,41.95,89514,1033.13,94.53,85.28,26,9.05,9.03,9.07
0.93,41.47,89493,1035.06,96.47,85.71,26,9.05,9.02,9.07
0.94,40.99,89499,1034.51,95.91,86.12,26,9.05,9.03,9.07
0.95,40.52,89487,1035.61,97.02,86.53,26,9.05,9.03,9.07
0.96,40.04,89468,1037.36,98.77,86.94,26,9.05,9.03,9.07
0.97,39.57,89476,1036.63,98.03,87.34,26,9.05,9.03,9.07
0.98,39.09,89451,1038.93,100.33,87.73,26,9.05,9.03,9.07
0.99,38.62,89448,1039.2,100.61,88.12,26,9.03,9.03,9.07
1,38.15,89448,1039.2,100.61,88.5,26,9.05,9.03,9.08
1.01,37.68,89442,1039.76,101.16,88.88,26,9.05,9.03,9.07
1.02,37.21,89428,1041.05,102.45,89.25,26,9.05,9.03,9.07
1.03,36.75,89401,1043.53,104.94,89.61,26,9.05,9.03,9.07
1.04,36.29,89402,1043.44,104.85,89.97,26,9.05,9.03,9.07
